#nousuario, ccard, screen_name, full_name, fecha, borrado
325503	7447747222232556	purplelime	Sam	2006-12-28	f
532923	4354449825492815	mathias	Mathias Bynens	2007-01-04	f
612473	9211817939259721	BBCNews	BBC News (UK)	2007-01-08	f
635543	5248191729461748	dburka	Daniel Burka	2007-01-15	f
635863	4158637958534589	andycroll	Andy Croll	2007-01-15	f
648873	2332845314594467	rem	Remy Sharp	2007-01-16	f
652193	9355113519688623	parislemon	MG Siegler	2007-01-17	f
657863	7235211356294965	kevinrose	Kevin Rose	2007-01-18	f
683203	2271669274559743	milesskorpen	Miles Skorpen	2007-01-23	f
691353	2275995167999468	Joi	Joi Ito	2007-01-24	f
712823	1116626785739832	nateritter	Nate Ritter	2007-01-27	f
731573	7596527228317991	marilink	Marilï¿½n Gonzalo	2007-01-30	f
749863	7378314999325412	hotdogsladies	Merlin Mann	2007-02-03	f
755431	5674358167664478	pvponline	Scott Cursedz	2007-02-06	f
759249	2417229521358651	deaneckles	Dean Eckles	2007-02-09	f
765150	6522595617818862	grumblebee	GRUMBLEBEE	2007-02-11	f
765548	5638857611512896	hmason	Hilary Mason	2007-02-11	f
767909	4191989345992421	rebeccablood	Rebecca BLOOD	2007-02-12	f
779853	2942423887985443	estebansaiz	Esteban Saiz	2007-02-19	f
783214	9978197487663784	twitter	Twitter	2007-02-20	f
784165	7599428275662174	alobbs	Alvaro Lopez Ortega	2007-02-20	f
